,count,mainCat,neighborhood,year
430,98,assault,Hegenberger,2013
431,71,assault,Hegenberger,2014
432,38,assault,Hegenberger,2015
433,106,assault,Highland,2007
434,103,assault,Highland,2008
435,45,assault,Highland,2009
436,70,assault,Highland,2010
437,83,assault,Highland,2011
438,79,assault,Highland,2012
439,51,assault,Highland,2013
440,53,assault,Highland,2014
441,28,assault,Highland,2015
442,81,assault,Highland Terrace,2007
443,68,assault,Highland Terrace,2008
444,42,assault,Highland Terrace,2009
445,36,assault,Highland Terrace,2010
446,50,assault,Highland Terrace,2011
447,52,assault,Highland Terrace,2012
448,35,assault,Highland Terrace,2013
449,35,assault,Highland Terrace,2014
450,21,assault,Highland Terrace,2015
451,5,assault,Hiller Highlands,2007
452,4,assault,Hiller Highlands,2008
453,4,assault,Hiller Highlands,2009
454,4,assault,Hiller Highlands,2010
455,1,assault,Hiller Highlands,2011
456,1,assault,Hiller Highlands,2012
457,2,assault,Hiller Highlands,2013
458,345,assault,Hoover/ Foster,2007
459,345,assault,Hoover/ Foster,2008
460,178,assault,Hoover/ Foster,2009
461,138,assault,Hoover/ Foster,2010
462,129,assault,Hoover/ Foster,2011
463,138,assault,Hoover/ Foster,2012
464,145,assault,Hoover/ Foster,2013
465,148,assault,Hoover/ Foster,2014
466,73,assault,Hoover/ Foster,2015
467,91,assault,Iveywood,2007
468,97,assault,Iveywood,2008
469,39,assault,Iveywood,2009
470,47,assault,Iveywood,2010
471,53,assault,Iveywood,2011
472,66,assault,Iveywood,2012
473,63,assault,Iveywood,2013
474,54,assault,Iveywood,2014
475,20,assault,Iveywood,2015
476,79,assault,Ivy Hill,2007
477,80,assault,Ivy Hill,2008
478,31,assault,Ivy Hill,2009
479,40,assault,Ivy Hill,2010
480,55,assault,Ivy Hill,2011
481,43,assault,Ivy Hill,2012
482,47,assault,Ivy Hill,2013
483,28,assault,Ivy Hill,2014
484,15,assault,Ivy Hill,2015
485,76,assault,Jefferson,2007
486,62,assault,Jefferson,2008
487,43,assault,Jefferson,2009
488,28,assault,Jefferson,2010
489,44,assault,Jefferson,2011
490,48,assault,Jefferson,2012
491,51,assault,Jefferson,2013
492,43,assault,Jefferson,2014
493,21,assault,Jefferson,2015
494,37,assault,Lakeshore,2007
495,42,assault,Lakeshore,2008
496,24,assault,Lakeshore,2009
497,17,assault,Lakeshore,2010
498,21,assault,Lakeshore,2011
499,25,assault,Lakeshore,2012
500,22,assault,Lakeshore,2013
501,19,assault,Lakeshore,2014
502,6,assault,Lakeshore,2015
503,109,assault,Lakewide,2007
504,69,assault,Lakewide,2008
505,36,assault,Lakewide,2009
506,46,assault,Lakewide,2010
507,48,assault,Lakewide,2011
508,64,assault,Lakewide,2012
509,51,assault,Lakewide,2013
510,30,assault,Lakewide,2014
511,27,assault,Lakewide,2015
512,42,assault,Las Palmas,2007
513,68,assault,Las Palmas,2008
514,48,assault,Las Palmas,2009
515,49,assault,Las Palmas,2010
516,22,assault,Las Palmas,2011
517,26,assault,Las Palmas,2012
518,55,assault,Las Palmas,2013
519,22,assault,Las Palmas,2014
520,8,assault,Las Palmas,2015
521,30,assault,Laurel,2007
522,53,assault,Laurel,2008
523,14,assault,Laurel,2009
524,29,assault,Laurel,2010
525,27,assault,Laurel,2011
526,26,assault,Laurel,2012
527,27,assault,Laurel,2013
528,16,assault,Laurel,2014
529,7,assault,Laurel,2015
530,5,assault,Leona Heights,2007
531,8,assault,Leona Heights,2008
532,6,assault,Leona Heights,2009
533,6,assault,Leona Heights,2010
534,5,assault,Leona Heights,2011
535,11,assault,Leona Heights,2012
536,2,assault,Leona Heights,2013
537,1,assault,Leona Heights,2015
538,17,assault,Lincoln Highlands,2007
539,20,assault,Lincoln Highlands,2008
540,5,assault,Lincoln Highlands,2009
541,6,assault,Lincoln Highlands,2010
542,2,assault,Lincoln Highlands,2011
543,2,assault,Lincoln Highlands,2012
544,4,assault,Lincoln Highlands,2013
545,2,assault,Lincoln Highlands,2015
546,93,assault,Lockwood Tevis,2007
547,160,assault,Lockwood Tevis,2008
548,57,assault,Lockwood Tevis,2009
549,58,assault,Lockwood Tevis,2010
550,75,assault,Lockwood Tevis,2011
551,73,assault,Lockwood Tevis,2012
552,71,assault,Lockwood Tevis,2013
553,68,assault,Lockwood Tevis,2014
554,27,assault,Lockwood Tevis,2015
555,236,assault,Longfellow,2007
556,213,assault,Longfellow,2008
557,99,assault,Longfellow,2009
558,129,assault,Longfellow,2010
559,117,assault,Longfellow,2011
560,104,assault,Longfellow,2012
561,114,assault,Longfellow,2013
562,76,assault,Longfellow,2014
563,42,assault,Longfellow,2015
564,101,assault,Lynn/ Highland Park,2007
565,67,assault,Lynn/ Highland Park,2008
566,43,assault,Lynn/ Highland Park,2009
567,49,assault,Lynn/ Highland Park,2010
568,38,assault,Lynn/ Highland Park,2011
569,46,assault,Lynn/ Highland Park,2012
570,41,assault,Lynn/ Highland Park,2013
571,30,assault,Lynn/ Highland Park,2014
572,20,assault,Lynn/ Highland Park,2015
573,111,assault,Maxwell Park,2007
574,128,assault,Maxwell Park,2008
575,69,assault,Maxwell Park,2009
